,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21000.0,100000,Free,0.0,Everyone,Art & Design,26-Jun-18,1.0.4,KitKat
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37000.0,100000,Free,0.0,Everyone,Art & Design,3-Aug-18,1.2.3,Gingerbread
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5500.0,500000,Free,0.0,Everyone,Art & Design,31-Jul-18,3.1,Jelly Bean
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17000.0,10000,Free,0.0,Everyone,Art & Design,7-Nov-17,1,Gingerbread
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39000.0,5000000,Free,0.0,Everyone,Art & Design,3-Aug-18,2.2.5,Ice Cream Sandwich
19,ibis Paint X,ART_AND_DESIGN,4.6,224399,31000.0,10000000,Free,0.0,Everyone,Art & Design,30-Jul-18,5.5.4,Jelly Bean
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14000.0,100000,Free,0.0,Everyone,Art & Design,20-Apr-18,4,Jelly Bean
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12000.0,100000,Free,0.0,Everyone,Art & Design,20-Mar-18,1.1,Ice Cream Sandwich
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4200.0,500000,Free,0.0,Everyone 10+,Art & Design,12-Jul-18,2.2.6.2,Ice Cream Sandwich
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23000.0,50000,Free,0.0,Everyone,Art & Design,7-Jul-18,1.1.3,Jelly Bean
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6000.0,10000,Free,0.0,Everyone,Art & Design,25-Apr-18,1.5,Honeycomb
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,11-Oct-17,1.0.8,Ice Cream Sandwich
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203,6100.0,100000,Free,0.0,Everyone,Art & Design,21-Mar-18,1.03,Ice Cream Sandwich
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4600.0,10000,Free,0.0,Everyone,Art & Design,12-Jul-18,6,Gingerbread
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4200.0,100000,Free,0.0,Everyone,Art & Design,22-Aug-17,1,Gingerbread
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9200.0,100000,Free,0.0,Everyone,Art & Design,12-Jul-18,6.7.12.2018,Ice Cream Sandwich
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5200.0,50000,Free,0.0,Everyone,Art & Design,31-May-18,1.2,Gingerbread
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11000.0,100000,Free,0.0,Everyone,Art & Design,19-Jul-18,2.2,Ice Cream Sandwich
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11000.0,100000,Free,0.0,Everyone,Art & Design,6-Jan-18,1.1.0,Jelly Bean
34,I Creative Idea,ART_AND_DESIGN,4.7,353,4200.0,10000,Free,0.0,Teen,Art & Design,27-Apr-18,1.6,Jelly Bean
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9200.0,100000,Free,0.0,Everyone,Art & Design,11-Jul-18,2.1,Jelly Bean
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,2-Aug-18,1.0.9,KitKat
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11000.0,10000,Free,0.0,Everyone,Art & Design,29-Nov-17,1.3,Ice Cream Sandwich
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9400.0,500000,Free,0.0,Everyone,Art & Design,31-Mar-18,1,Ice Cream Sandwich
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15000.0,10000,Free,0.0,Everyone,Art & Design,20-Jul-18,2.0.1,Ice Cream Sandwich
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10000.0,100000,Free,0.0,Everyone,Art & Design,2-Apr-18,1,Ice Cream Sandwich
43,Paint Splash!,ART_AND_DESIGN,3.8,2206,1200.0,100000,Free,0.0,Everyone,Art & Design;Creativity,15-Apr-18,1.46,Jelly Bean
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12000.0,10000,Free,0.0,Everyone,Art & Design,3-Jan-18,1.0.0,Jelly Bean
45,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24000.0,10000000,Free,0.0,Everyone,Art & Design,31-Jul-18,1.6.1,Jelly Bean
46,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26000.0,100000,Free,0.0,Everyone,Art & Design,14-Nov-17,1.6,Jelly Bean
47,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8000.0,100000,Free,0.0,Everyone,Art & Design,17-Dec-17,2.0.0,Jelly Bean
48,How To Draw Food,ART_AND_DESIGN,4.3,845,7900.0,100000,Free,0.0,Everyone,Art & Design,28-May-18,1,Gingerbread
49,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25000.0,100000,Free,0.0,Everyone,Auto & Vehicles,10-May-18,1,Ice Cream Sandwich
50,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,26-Jul-18,11,Jelly Bean
51,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57000.0,100000,Free,0.0,Everyone,Auto & Vehicles,26-Jul-18,3,Jelly Bean
53,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35000.0,100000,Free,0.0,Everyone,Auto & Vehicles,26-Jul-18,3,Jelly Bean
54,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33000.0,100000,Free,0.0,Everyone,Auto & Vehicles,31-Jul-18,4,Jelly Bean
55,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33000.0,100000,Free,0.0,Everyone,Auto & Vehicles,18-Jul-18,1.7.1,Ice Cream Sandwich
56,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5600.0,50000,Free,0.0,Everyone,Auto & Vehicles,29-Jul-18,2.5.1,KitKat
57,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54000.0,100000,Free,0.0,Everyone,Auto & Vehicles,26-Jul-18,3,Jelly Bean
59,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3600.0,100000,Free,0.0,Everyone,Auto & Vehicles,30-Jul-18,2.493,KitKat
60,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5700.0,10000,Free,0.0,Everyone,Auto & Vehicles,8-Jul-18,1.9.1,Ice Cream Sandwich
61,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17000.0,100000,Free,0.0,Everyone,Auto & Vehicles,3-Jul-18,1.7,Jelly Bean
62,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8600.0,1000000,Free,0.0,Everyone,Auto & Vehicles,28-Jul-18,2.20 Build 02,Jelly Bean
63,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2400.0,100000,Free,0.0,Everyone,Auto & Vehicles,12-Jun-18,1.37,Ice Cream Sandwich
64,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27000.0,100000,Free,0.0,Everyone,Auto & Vehicles,3-Jul-18,1.7,Jelly Bean
65,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2700.0,10000,Free,0.0,Everyone,Auto & Vehicles,30-Jul-18,0.2.1,KitKat
66,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2500.0,50000,Free,0.0,Everyone,Auto & Vehicles,14-Oct-16,1,Gingerbread
69,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,16-Jul-18,4.47.3,Ice Cream Sandwich
70,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2-Aug-18,1.9.7,Ice Cream Sandwich
71,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2-Aug-18,2.2.21,Jelly Bean
72,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16000.0,10000000,Free,0.0,Teen,Auto & Vehicles,11-Jul-18,Varies with device,Lollipop
74,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17000.0,500000,Free,0.0,Everyone,Auto & Vehicles,27-Jul-18,1.79,Ice Cream Sandwich
75,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3400.0,50000,Free,0.0,Everyone,Auto & Vehicles,14-Jun-18,1.3,Ice Cream Sandwich
76,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8900.0,100000,Free,0.0,Everyone,Auto & Vehicles,8-Jun-18,2.3.5.1,Jelly Bean
77,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3900.0,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,4-Jul-18,1.6,Ice Cream Sandwich
78,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2900.0,100000,Free,0.0,Everyone,Auto & Vehicles,27-Mar-18,1.6,Jelly Bean
79,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,15-Jul-18,8.31,Jelly Bean
80,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32000.0,50000,Free,0.0,Everyone,Auto & Vehicles,24-Jul-18,1.1.5.0,Marshmallow
81,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,27-Jul-18,10.0.2,Jelly Bean
82,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15000.0,500000,Free,0.0,Everyone,Auto & Vehicles,30-Jul-18,1.10.3,Lollipop
83,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5400.0,100000,Free,0.0,Everyone,Auto & Vehicles,23-Jul-18,1,Ice Cream Sandwich
84,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,23-Jul-18,3.20.1,KitKat
86,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38000.0,100000,Free,0.0,Everyone,Auto & Vehicles,29-Jul-18,1.0.3,Gingerbread
87,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1100.0,100000,Free,0.0,Everyone,Auto & Vehicles,27-Apr-18,1.4,Ice Cream Sandwich
90,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7900.0,100000,Free,0.0,Everyone,Auto & Vehicles,16-May-18,2.8.2,Jelly Bean
91,SKencar,AUTO_AND_VEHICLES,3.7,4806,35000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,31-Jul-18,4.0.3,Ice Cream Sandwich
93,auto fines,AUTO_AND_VEHICLES,4.6,31433,17000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2-Aug-18,1.4,Ice Cream Sandwich
94,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,23-Jul-18,1.5.18,Ice Cream Sandwich
95,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2-Jun-18,2.3.4,Ice Cream Sandwich
96,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2200.0,500000,Free,0.0,Everyone,Auto & Vehicles,20-Mar-18,1.03,Ice Cream Sandwich
97,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4500.0,100000,Free,0.0,Everyone,Auto & Vehicles,21-Apr-18,2.17,Ice Cream Sandwich
98,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17000.0,500000,Free,0.0,Everyone,Beauty,2-Aug-18,6.10.1,Lollipop
99,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14000.0,1000000,Free,0.0,Everyone,Beauty,9-Nov-17,2.3.0,Jelly Bean
100,Natural recipes for your beauty,BEAUTY,4.7,1150,9800.0,100000,Free,0.0,Everyone,Beauty,15-May-18,4,Jelly Bean
101,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21000.0,500000,Free,0.0,Everyone,Beauty,12-Jul-18,1.0.6,Ice Cream Sandwich
103,Beauty Selfie Camera,BEAUTY,4.2,2225,52000.0,500000,Free,0.0,Everyone,Beauty,28-Feb-18,1.6,Jelly Bean
104,Hairstyles step by step,BEAUTY,4.6,4369,14000.0,100000,Free,0.0,Everyone,Beauty,25-Jul-18,1.9,Ice Cream Sandwich
105,Filters for Selfie,BEAUTY,4.3,8572,25000.0,1000000,Free,0.0,Everyone,Beauty,10-May-18,1.1.0,Ice Cream Sandwich
106,Tie - Always be happy,BEAUTY,4.7,964,9000.0,50000,Free,0.0,Everyone,Beauty,21-Jun-18,4,Jelly Bean
108,Prom MakeUp Tutorial,BEAUTY,4.8,104,12000.0,10000,Free,0.0,Everyone,Beauty,26-Jun-18,1.3,Ice Cream Sandwich
110,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35000.0,100000,Free,0.0,Everyone,Beauty,2-Jun-18,2.0.0,Ice Cream Sandwich
111,Colors of white in Urdu,BEAUTY,4.5,36,6700.0,10000,Free,0.0,Everyone,Beauty,26-Jul-18,6,Ice Cream Sandwich
112,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30000.0,50000,Free,0.0,Teen,Beauty,24-Jul-18,3.0.1,Ice Cream Sandwich
114,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2900.0,10000,Free,0.0,Everyone,Beauty,9-Apr-18,3.3.9,Ice Cream Sandwich
115,Photo Editor 2018,BEAUTY,4.5,134,17000.0,10000,Free,0.0,Everyone,Beauty,1-Mar-18,1.2,Ice Cream Sandwich
116,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2900.0,10000,Free,0.0,Everyone,Beauty,5-Apr-18,2.3.09,Ice Cream Sandwich
119,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2600.0,1000000,Free,0.0,Everyone,Beauty,21-Nov-17,1.4.2,Ice Cream Sandwich
120,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4200.0,50000,Free,0.0,Everyone,Beauty,18-Oct-17,1.0.0,Ice Cream Sandwich
121,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7100.0,10000,Free,0.0,Everyone,Beauty,29-May-18,1,Ice Cream Sandwich
122,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57000.0,1000000,Free,0.0,Everyone,Beauty,24-Jul-18,18.5,Lollipop
124,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22000.0,500000,Free,0.0,Everyone,Beauty,12-Jul-18,1.1.0,Ice Cream Sandwich
125,Filters for B Live,BEAUTY,4.4,2280,24000.0,500000,Free,0.0,Everyone,Beauty,14-May-18,1.1.0,Ice Cream Sandwich
127,Facial Wrinkle Reduction,BEAUTY,4.6,184,21000.0,10000,Free,0.0,Everyone,Beauty,2-Jul-18,1.5,Jelly Bean
128,Makeup Videos,BEAUTY,3.8,9,3400.0,5000,Free,0.0,Everyone,Beauty,7-Jun-18,1,Ice Cream Sandwich
131,Discover Color,BEAUTY,4.0,364,6400.0,100000,Free,0.0,Everyone,Beauty,24-May-18,1.1,Ice Cream Sandwich
132,Eyeliner step by step 2018,BEAUTY,4.3,18,3200.0,5000,Free,0.0,Everyone,Beauty,1-Jun-18,1.2.13,Ice Cream Sandwich
133,Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8200.0,100000,Free,0.0,Mature 17+,Beauty,1-Mar-17,1.0.2.0,Donut
135,Step By Step Hairstyles For Women,BEAUTY,4.1,66,2900.0,10000,Free,0.0,Everyone,Beauty,5-Apr-18,3.1.89,Ice Cream Sandwich
136,Rainbow Camera,BEAUTY,3.7,3871,23000.0,1000000,Free,0.0,Everyone,Beauty,30-Jul-18,2.2.0,Ice Cream Sandwich
137,Methods of teeth whitening,BEAUTY,4.7,257,4600.0,50000,Free,0.0,Everyone,Beauty,7-Aug-17,1,Ice Cream Sandwich
138,Girls hairstyles 2018,BEAUTY,4.2,62,3100.0,10000,Free,0.0,Everyone,Beauty,28-May-18,1.9.2,Ice Cream Sandwich
140,E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4900.0,50000,Free,0.0,Everyone,Books & Reference,3-Aug-18,1.3.2,KitKat
141,Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9500.0,100000,Free,0.0,Everyone 10+,Books & Reference,31-Jul-17,1.1,Ice Cream Sandwich
147,Free Panda Radio Music,BOOKS_AND_REFERENCE,4.5,418,4200.0,100000,Free,0.0,Everyone,Books & Reference,27-Mar-18,2.1,Jelly Bean
148,Book store,BOOKS_AND_REFERENCE,4.4,22486,5400.0,1000000,Free,0.0,Teen,Books & Reference,6-Jun-18,3.2.1,Ice Cream Sandwich
150,English Grammar Complete Handbook,BOOKS_AND_REFERENCE,4.6,1435,2800.0,500000,Free,0.0,Everyone,Books & Reference,21-Jan-18,1,Ice Cream Sandwich
151,Free Books - Spirit Fanfiction and Stories,BOOKS_AND_REFERENCE,4.8,116507,5000.0,1000000,Free,0.0,Teen,Books & Reference,1-Aug-18,2.0.075,Ice Cream Sandwich
153,AlReader -any text book reader,BOOKS_AND_REFERENCE,4.6,90468,5900.0,5000000,Free,0.0,Everyone,Books & Reference,27-May-18,1.91180527,Gingerbread
154,Offline English Dictionary,BOOKS_AND_REFERENCE,4.2,860,13000.0,100000,Free,0.0,Everyone,Books & Reference,17-Jul-18,1,Ice Cream Sandwich
155,Oxford Dictionary of English : Free,BOOKS_AND_REFERENCE,4.1,363934,7100.0,10000000,Free,0.0,Everyone,Books & Reference,11-Jul-18,9.1.363,Jelly Bean
156,Offline: English to Tagalog Dictionary,BOOKS_AND_REFERENCE,4.7,967,6700.0,500000,Free,0.0,Everyone,Books & Reference,4-Aug-18,1.1.6,Ice Cream Sandwich
158,FamilySearch Tree,BOOKS_AND_REFERENCE,4.3,17506,17000.0,1000000,Free,0.0,Everyone,Books & Reference,20-Jul-18,2.3.18,Jelly Bean
159,Cloud of Books,BOOKS_AND_REFERENCE,3.3,1862,19000.0,1000000,Free,0.0,Everyone,Books & Reference,27-Apr-18,2.2.5,Jelly Bean
160,Recipes of Prophetic Medicine for free,BOOKS_AND_REFERENCE,4.6,2084,6700.0,500000,Free,0.0,Everyone,Books & Reference,17-May-18,15,Gingerbread
161,ReadEra – free ebook reader,BOOKS_AND_REFERENCE,4.8,47303,21000.0,1000000,Free,0.0,Everyone,Books & Reference,2-Jun-18,18.05.31+530,Jelly Bean
164,Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842,37000.0,5000000,Free,0.0,Everyone,Books & Reference,25-Jun-18,5.0.6,Ice Cream Sandwich
165,Litnet - E-books,BOOKS_AND_REFERENCE,4.6,7831,15000.0,100000,Free,0.0,Teen,Books & Reference,4-Jul-18,1.2.3,Ice Cream Sandwich
166,Read books online,BOOKS_AND_REFERENCE,4.1,91615,23000.0,5000000,Free,0.0,Mature 17+,Books & Reference,29-Jun-18,3.12,Jelly Bean
167,English to Urdu Dictionary,BOOKS_AND_REFERENCE,4.6,4620,19000.0,500000,Free,0.0,Everyone,Books & Reference,23-Nov-17,2,Ice Cream Sandwich
168,eBoox: book reader fb2 epub zip,BOOKS_AND_REFERENCE,4.7,21336,23000.0,1000000,Free,0.0,Everyone,Books & Reference,20-Jun-18,1.28,Honeycomb
169,English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73000.0,500000,Free,0.0,Everyone,Books & Reference,1-Aug-18,6.0.8,Ice Cream Sandwich
170,Flybook,BOOKS_AND_REFERENCE,3.9,1778,4900.0,500000,Free,0.0,Mature 17+,Books & Reference,16-Oct-14,1.0.3,Eclair
171,All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6800.0,1000000,Free,0.0,Everyone,Books & Reference,11-Jul-18,1.9,KitKat
174,English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2900.0,100000,Free,0.0,Everyone,Books & Reference,31-Mar-18,14,Ice Cream Sandwich
175,Pdf Book Download - Read Pdf Book,BOOKS_AND_REFERENCE,4.4,1322,3500.0,100000,Free,0.0,Everyone,Books & Reference,28-May-18,6,Ice Cream Sandwich
176,Free Book Reader,BOOKS_AND_REFERENCE,3.4,1680,4000.0,100000,Free,0.0,Everyone,Books & Reference,20-Aug-16,3.05,Ice Cream Sandwich
177,eBoox new: Reader for fb2 epub zip books,BOOKS_AND_REFERENCE,4.9,2739,21000.0,50000,Free,0.0,Everyone,Books & Reference,17-Jul-18,2,Honeycomb
178,"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2300.0,500000,Free,0.0,Everyone,Books & Reference,16-Jun-18,1.5,Honeycomb
181,English-Myanmar Dictionary,BOOKS_AND_REFERENCE,4.4,8788,10000.0,1000000,Free,0.0,Everyone,Books & Reference,28-Jul-18,2.5.3,Ice Cream Sandwich
182,Golden Dictionary (EN-AR),BOOKS_AND_REFERENCE,4.4,51269,6100.0,1000000,Free,0.0,Everyone,Books & Reference,19-Jul-18,7.0.4.6,Jelly Bean
183,All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105,2100.0,1000000,Free,0.0,Everyone,Books & Reference,29-Jul-18,1.15,Ice Cream Sandwich
184,Azpen eReader,BOOKS_AND_REFERENCE,3.5,156,42000.0,500000,Free,0.0,Everyone,Books & Reference,15-Feb-18,3.1.7.9,Froyo
186,English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30000.0,10000000,Free,0.0,Everyone 10+,Books & Reference,20-Mar-18,3.9.1,Jelly Bean
190,ADP Mobile Solutions,BUSINESS,4.3,85185,29000.0,5000000,Free,0.0,Everyone,Business,17-Jul-18,3.4.2,Lollipop
194,OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35000.0,100000000,Free,0.0,Everyone,Business,2-Aug-18,9.7.14188,Jelly Bean
195,USPS MOBILE®,BUSINESS,3.9,16589,9100.0,1000000,Free,0.0,Everyone,Business,14-Jun-18,4.9.10,Ice Cream Sandwich
196,Job Search by ZipRecruiter,BUSINESS,4.8,148945,25000.0,1000000,Free,0.0,Everyone,Business,19-Jul-18,5.2.8,Lollipop
197,Curriculum vitae App CV Builder Free Resume Maker,BUSINESS,4.5,4458,3900.0,500000,Free,0.0,Everyone,Business,8-Jul-18,3.3,Jelly Bean
198,Google Primer,BUSINESS,4.4,62272,18000.0,10000000,Free,0.0,Everyone,Business,26-Jun-18,3.550.2,Jelly Bean
199,Alba Heaven - Alvarez Job Portal Services,BUSINESS,4.0,8941,12000.0,5000000,Free,0.0,Everyone,Business,31-Jul-18,4.6.30,Ice Cream Sandwich
200,SuperLivePro,BUSINESS,4.3,46353,21000.0,1000000,Free,0.0,Everyone,Business,13-Apr-16,2.8,Cupcake
205,Polaris Office for LG,BUSINESS,4.2,30847,55000.0,5000000,Free,0.0,Everyone,Business,8-Feb-18,7.3.21,Jelly Bean
206,Call Blocker,BUSINESS,4.6,188841,3200.0,5000000,Free,0.0,Everyone,Business,21-Jun-18,1.1.13,Ice Cream Sandwich
210,Kariyer.net,BUSINESS,3.9,45964,16000.0,1000000,Free,0.0,Everyone,Business,18-Jul-18,5.1.5,Jelly Bean
212,Become a Job - Find a job or advertise,BUSINESS,4.1,6903,14000.0,1000000,Free,0.0,Everyone,Business,10-Jul-18,2.3.6,Jelly Bean
213,ZOOM Cloud Meetings,BUSINESS,4.4,31614,37000.0,10000000,Free,0.0,Everyone,Business,20-Jul-18,4.1.28165.0716,Ice Cream Sandwich
216,"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,207372,11000.0,5000000,Free,0.0,Everyone,Business,2-Aug-18,12.2.4,Ice Cream Sandwich
217,ViettelPost express delivery,BUSINESS,4.4,1225,25000.0,100000,Free,0.0,Everyone,Business,1-Aug-18,1.0.6.8,Jelly Bean
218,MyASUS - Service Center,BUSINESS,4.4,380837,7300.0,10000000,Free,0.0,Everyone,Business,4-Jul-18,3.4.5,Jelly Bean
