# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,,,,,,,,,,,
App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
BD Earn Pro,FAMILY,4.2,540,3.2M,"10,000+",Free,0,Everyone,Entertainment,1-Aug-18,2.4,4.1 and up
,,,,,,,,,,,,
Upohar BD,BUSINESS,3.4,9,1.7M,"1,000+",Free,0,Everyone,Business,8-Oct-16,1,3.0 and up
Electricity Bill Calculator BD,PRODUCTIVITY,4.3,247,4.0M,"10,000+",Free,0,Everyone,Productivity,22-Jun-16,1.2,4.0.3 and up
BD Fishpedia,BOOKS_AND_REFERENCE,4.8,123,6.5M,"1,000+",Free,0,Everyone,Books & Reference,15-Mar-17,3.15317,3.0 and up
BD Attendance,PRODUCTIVITY,4.8,93,14M,"1,000+",Free,0,Everyone,Productivity,17-Jul-18,2.3.14,4.3 and up
BD All Sim Offer,BOOKS_AND_REFERENCE,4.5,197,2.8M,"10,000+",Free,0,Everyone,Books & Reference,3-Jan-17,1.2,4.1 and up
BD TYCOON,FAMILY,3.3,16,33M,500+,Free,0,Everyone,Simulation,6-Jul-17,1.2,4.1 and up
BD Sports Box & TV,FAMILY,4.2,5,3.3M,500+,Free,0,Everyone,Entertainment,13-Apr-18,1.1,4.0.3 and up
Tour BD (Bahir Dar Map),MAPS_AND_NAVIGATION,4.9,49,3.9M,100+,Free,0,Everyone,Maps & Navigation,16-Oct-17,2,4.2 and up
BD Field Force,PRODUCTIVITY,4.2,41,15M,"1,000+",Free,0,Everyone,Productivity,1-Aug-18,1.3.13,4.3 and up
BD CRICKET LIVE,SPORTS,4.6,1238,9.5M,"100,000+",Free,0,Everyone,Sports,15-Jan-18,3,4.0.3 and up
BD All Results,FAMILY,4.1,205,7.3M,"50,000+",Free,0,Everyone,Education,29-Nov-17,9,4.0.3 and up
BD Online Passport Application,FAMILY,4.6,12,2.4M,"5,000+",Free,0,Everyone,Education,7-Oct-17,3,4.0.3 and up
BD Internet Packages (Updated),COMMUNICATION,4,474,3.0M,"50,000+",Free,0,Everyone,Communication,5-Aug-16,0.0.5,4.0 and up
Live Radio BD,FAMILY,4.2,69,3.5M,"10,000+",Free,0,Everyone,Entertainment,4-May-15,1.1,4.0 and up
iCard BD Plus,SOCIAL,5,2,2.4M,500+,Free,0,Everyone,Social,15-Jul-16,3.7.5,2.0 and up
BD Dialer,COMMUNICATION,4.1,29,13M,"10,000+",Free,0,Everyone,Communication,9-Jul-18,1.8.3,4.1 and up
"Youboox - Livres, BD et magazines",BOOKS_AND_REFERENCE,3.7,4071,Varies with device,"500,000+",Free,0,Teen,Books & Reference,3-Apr-18,Varies with device,Varies with device
BANGLA TV 3G/4G,SPORTS,4.1,142,5.3M,"100,000+",Free,0,Everyone,Sports,7-Jun-18,2.4,4.0 and up
Earn Money BD,FINANCE,3.8,103,6.9M,"5,000+",Free,0,Everyone,Finance,11-Jul-18,3.4,4.0 and up
BD Hospital's,FAMILY,4.7,12,2.3M,100+,Free,0,Everyone,Education,7-Oct-15,1.1,3.0 and up
Rabbithole,FAMILY,3.5,3347,15M,"100,000+",Free,0,Everyone,Entertainment,18-Jul-18,1.1.15.12,4.4 and up
Educationboard Results BD,FAMILY,4,983,7.2M,"100,000+",Free,0,Everyone,Education,12-Jun-18,1,4.0 and up
BD Online Shop,BUSINESS,4.2,63,13M,"5,000+",Free,0,Everyone,Business,13-Sep-15,3.0.1,2.3.3 and up
Remote for Samsung TV & BluRay Players (Read Desc),TOOLS,3.3,1988,7.3M,"500,000+",Free,0,Everyone,Tools,3-Aug-18,Cow V3.15,4.3 and up
Vehicle Case Checker BD,TOOLS,3.7,29,3.3M,"10,000+",Free,0,Everyone,Tools,13-Jul-17,1,4.1 and up
Remote for Sony TV & Sony Blu-Ray Players MyAV,TOOLS,3.4,3491,7.3M,"1,000,000+",Free,0,Everyone,Tools,31-Jul-18,Cow V3.15,4.3 and up
Remote for Panasonic TV+BD+AVR,TOOLS,3.7,533,7.3M,"100,000+",Free,0,Everyone,Tools,31-Jul-18,Cow V3.15,4.3 and up
Exam Result BD,FAMILY,5,2,2.6M,500+,Free,0,Everyone,Education,22-Jul-17,1,3.2 and up
,,,,,,,,,,,,
Helping BD,LIFESTYLE,5,15,4.5M,100+,Free,0,Everyone,Lifestyle,19-Jun-18,2.1,4.0.3 and up
Best Browser BD social networking,COMMUNICATION,4.8,6,21M,10+,Free,0,Everyone,Communication,4-Jul-18,2,4.1 and up
Traffic signs BD,COMMUNICATION,4.4,7,5.3M,500+,Free,0,Everyone,Communication,8-Oct-15,1,4.1 and up
BD Internet Package Activator,NEWS_AND_MAGAZINES,4.9,13,2.3M,100+,Free,0,Everyone,News & Magazines,9-Mar-18,1.2,4.0.3 and up
be Produbanco,FINANCE,4,967,22M,"100,000+",Free,0,Everyone,Finance,2-Aug-18,1.2.1,4.1 and up
Millionaire : Who want to be?,GAME,4.4,4396,40M,"100,000+",Free,0,Everyone,Trivia,12-Apr-17,1.5,2.3 and up
Photo Editor by BeFunky,PHOTOGRAPHY,4.5,192851,Varies with device,"10,000,000+",Free,0,Everyone,Photography,12-Sep-17,Varies with device,Varies with device
Be My Eyes - Helping the blind,LIFESTYLE,4.9,8418,21M,"500,000+",Free,0,Everyone,Lifestyle,11-Jul-18,1.2.9,4.4 and up
Be My Princess: PARTY,FAMILY,4.4,9443,21M,"100,000+",Free,0,Teen,Simulation,12-Dec-16,1.8.0,4.0.3 and up
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3156484,53M,"100,000,000+",Free,0,Everyone,Photography,31-Jul-18,6.9.031,4.1 and up
Movement BE,SOCIAL,5,20,1.2M,100+,Free,0,Teen,Social,10-Nov-16,1.2,4.4 and up
Be Stronger,HEALTH_AND_FITNESS,4.8,787,53M,"1,000+",Paid,$1.99 ,Everyone,Health & Fitness,31-Jul-18,1.4.7,4.0.3 and up
Be My Love Animated Keyboard,PERSONALIZATION,4.6,838,11M,"50,000+",Free,0,Teen,Personalization,30-Mar-18,1.7,4.1 and up
Be My Princess 2,FAMILY,4.3,2806,27M,"100,000+",Free,0,Teen,Entertainment,20-Mar-18,3.6,2.3 and up
Millionaire Quiz Free: Be Rich,FAMILY,3.8,66033,6.8M,"10,000,000+",Free,0,Everyone,Casual,1-Jan-18,2.5.1,4.0 and up
Be the Manager 2018 - Football Strategy,SPORTS,4.3,7557,7.4M,"100,000+",Free,0,Everyone,Sports,12-Mar-18,2.2.1,4.2 and up
Be like Me - Hay Nhu Toi,PERSONALIZATION,4.3,44,3.5M,"1,000+",Free,0,Teen,Personalization,26-May-16,1.3,4.0 and up
Be Fabulous PHOTO BOOTH,PHOTOGRAPHY,4.1,560,1.7M,"10,000+",Free,0,Everyone,Photography,1-Feb-17,1.07,4.0 and up
RadarNow!,WEATHER,4.5,54090,4.0M,"5,000,000+",Free,0,Everyone,Weather,28-Feb-18,6.6,4.0 and up
Be My Princess,FAMILY,4.2,3103,8.8M,"100,000+",Free,0,Teen,Entertainment,19-Sep-17,6.5,2.2 and up
Fat No More - Be the Biggest Loser in the Gym!,FAMILY,3.8,48545,38M,"1,000,000+",Free,0,Everyone,Casual,3-Aug-18,1.2.14,4.1 and up
Be Like Bill - Maker,FAMILY,4.3,18,1.7M,"1,000+",Free,0,Everyone,Entertainment,27-Jan-16,1.2,3.2 and up
Top Eleven 2018 - Be a Soccer Manager,SPORTS,4.4,3451011,Varies with device,"50,000,000+",Free,0,Everyone,Sports,26-Jul-18,7.4,4.1 and up
Free GPS Navigation,MAPS_AND_NAVIGATION,4.2,618562,Varies with device,"50,000,000+",Free,0,Everyone,Maps & Navigation,4-Jun-18,Varies with device,Varies with device
Be the Manager 2016 (football),SPORTS,4.2,4330,6.1M,"100,000+",Free,0,Everyone,Sports,19-Oct-17,3,4.0 and up
Hair Salon - Fun Games,FAMILY,3.8,484226,27M,"50,000,000+",Free,0,Teen,Casual,15-Jun-18,3.0.10,4.0 and up
Adobe Photoshop Fix,PHOTOGRAPHY,4.2,28390,38M,"5,000,000+",Free,0,Everyone,Photography,19-Jul-17,1.0.499,5.0 and up
Make your Be Like Bill,COMICS,4,78,2.8M,"5,000+",Free,0,Everyone,Comics,16-Jan-16,1,2.3 and up
Be like Bill Generator,FAMILY,4.2,67,6.5M,"5,000+",Free,0,Teen,Entertainment,29-Jan-16,1.08,4.0.3 and up
Be you GO Launcher Theme,PERSONALIZATION,4.3,1580,3.6M,"100,000+",Free,0,Everyone,Personalization,12-Nov-14,v1.0,2.3 and up
"Star Girl - Fashion, Makeup & Dress Up",FAMILY,4.3,556929,53M,"10,000,000+",Free,0,Teen,Casual,19-Apr-18,4.2.1,4.0.3 and up
Be Like Bro - Compilation,FAMILY,4.4,146,3.9M,"10,000+",Free,0,Teen,Entertainment,30-Mar-18,2.4,4.1 and up
Bowmasters,GAME,4.7,1535581,Varies with device,"50,000,000+",Free,0,Teen,Action,23-Jul-18,2.12.5,4.1 and up
YAY - TBH,SOCIAL,4.1,2520,12M,"100,000+",Free,0,Teen,Social,17-Nov-17,1.1.5,4.3 and up
The Sims™ Mobile,FAMILY,4.5,559597,89M,"10,000,000+",Free,0,Teen,Simulation,26-Jul-18,11.1.1.179661,4.1 and up
Find My Friends,SOCIAL,4.2,305367,46M,"10,000,000+",Free,0,Everyone,Social,1-Aug-18,16.7.1,4.4 and up
Beauty Idol: Fashion Queen,GAME,4.3,128367,54M,"1,000,000+",Free,0,Everyone,Arcade,27-Oct-17,2.1.0,4.0.3 and up
Unseen - No Last Seen,TOOLS,4.4,103909,9.2M,"5,000,000+",Free,0,Everyone,Tools,11-May-18,2.2.7,4.3 and up
OK K.O.! Lakewood Plaza Turbo,FAMILY,4.5,76608,24M,"1,000,000+",Free,0,Everyone 10+,Action;Action & Adventure,5-Jan-17,1.3.1,4.0 and up
Hard Time (Prison Sim),GAME,4.3,275843,41M,"10,000,000+",Free,0,Teen,Adventure,19-Jul-18,1.401,4.0 and up
,,,,,,,,,,,,
Nick,FAMILY,4.2,123309,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,24-Jan-18,2.0.8,4.4 and up
Battlefield™ Companion,GAME,4,263907,62M,"10,000,000+",Free,0,Everyone 10+,Action,1-Nov-16,3.0.4,4.0 and up
Wolf of the BF:Commando MOBILE,GAME,3.4,32,27M,"1,000+",Paid,$0.99 ,Everyone 10+,Arcade,23-Mar-17,1.00.10,4.0 and up
BF at Sea Refueled,GAME,4.4,1849,37M,"10,000+",Free,0,Everyone,Board,20-Oct-15,1.1.8,2.3.3 and up
BF Movies Fun,FAMILY,3.8,63,3.7M,"10,000+",Free,0,Teen,Entertainment,7-Apr-18,1,2.3.3 and up
BF Browser by Betfilter - Stop Gambling Today!,COMMUNICATION,3,39,4.6M,"10,000+",Free,0,Everyone,Communication,4-Sep-17,1.4,4.0.3 and up
My BF App,COMMUNICATION,4.1,141,9.9M,"50,000+",Free,0,Everyone,Communication,19-Dec-17,2,4.0 and up
Funny videos for whatsapp,VIDEO_PLAYERS,4.4,3066,9.0M,"1,000,000+",Free,0,Everyone,Video Players & Editors,17-Dec-17,1.7,4.0.3 and up
BF games,FAMILY,4.1,262,29M,"50,000+",Free,0,Everyone,Puzzle,1-Nov-17,1.1,4.0.3 and up
BF 3d Wallpapers,FAMILY,4.1,256,2.5M,"100,000+",Free,0,Teen,Entertainment,18-Jun-15,4.7,3.0 and up
Hot Bhojpuri Video songs,FAMILY,4.1,28892,6.3M,"5,000,000+",Free,0,Teen,Entertainment,11-Jul-18,1.3,4.0 and up
Bullet Force,GAME,4.5,634159,58M,"10,000,000+",Free,0,Teen,Action,21-Jun-18,1.4,4.2 and up
GF - BF Chat Stories - Hindi English Convesation,FAMILY,4.1,32,4.1M,"10,000+",Free,0,Everyone,Education,18-Jun-18,1.5,4.1 and up
BF Scale Health Fitness Tool,HEALTH_AND_FITNESS,2.2,19,9.6M,"1,000+",Free,0,Everyone,Health & Fitness,29-Nov-17,2.1,4.3 and up
BF-Calc,TOOLS,3.9,428,3.8M,"100,000+",Free,0,Everyone,Tools,31-Mar-15,1.2.5,2.3.3 and up
BF 4 Guns,FAMILY,4,1542,13M,"50,000+",Free,0,Everyone,Entertainment,9-Jun-15,3,3.0 and up
My Virtual Boyfriend,FAMILY,4.3,105,51M,"1,000+",Paid,$0.99 ,Teen,Casual,17-Feb-17,3.6,2.3.3 and up
Sexy Hot Detector Prank,FAMILY,3.9,17067,2.7M,"5,000,000+",Free,0,Everyone,Casual,13-Feb-18,2.4.4,4.1 and up
BF Combat: Genesis,GAME,4,3322,82M,"100,000+",Free,0,Mature 17+,Action,2-Mar-17,5.1.6,2.3 and up
"Women""s Health Tips(Breast,Face,Body,weight lose)",HEALTH_AND_FITNESS,4.2,2509,5.0M,"1,000,000+",Free,0,Mature 17+,Health & Fitness,20-Apr-18,1.8,4.1 and up
Combat BF: Black Ops 3,GAME,4.2,7699,83M,"500,000+",Free,0,Mature 17+,Action,2-Mar-17,5.1.6,2.3 and up
BF Beautiful Nature,FAMILY,3.6,5,2.5M,"1,000+",Free,0,Mature 17+,Entertainment,11-Jun-15,4.1,3.0 and up
BF 3d Images,FAMILY,4.3,19,2.5M,"1,000+",Free,0,Teen,Entertainment,17-Jun-15,4.5,3.0 and up
Jigsaw Puzzles Bus Scania BF,FAMILY,NaN,3,6.6M,"1,000+",Free,0,Teen,Puzzle,7-Nov-16,1,4.0 and up
BF 3d View Wallpapers,FAMILY,NaN,4,2.5M,"1,000+",Free,0,Teen,Entertainment,18-Jun-15,4.6,3.0 and up
Hot Bhojpuri Video Song 2018 - Free Movies,FAMILY,4.4,447,3.7M,"100,000+",Free,0,Mature 17+,Entertainment,4-Apr-18,1,4.2 and up
Body Scanner xray Real Camera Prank Entertaintment,FAMILY,2.6,17,4.6M,"5,000+",Free,0,Everyone,Entertainment,5-May-18,1,2.3 and up
BF Frontline City,GAME,4.1,29798,80M,"1,000,000+",Free,0,Mature 17+,Action,6-Mar-17,5.1.7,2.3 and up
Bf Light,BUSINESS,NaN,6,11M,"1,000+",Free,0,Everyone,Business,9-Feb-17,1,4.1 and up
Droid PRoCon BF3,TOOLS,3.5,412,2.6M,"5,000+",Paid,$0.99 ,Everyone,Tools,12-Mar-15,2.2,3.0 and up
BF Abstract 3d Pictures,FAMILY,4.2,72,2.5M,"10,000+",Free,0,Teen,Entertainment,18-Jun-15,5.1,3.0 and up
CE BF,LIFESTYLE,NaN,0,24M,50+,Free,0,Everyone,Lifestyle,2-Jan-18,1.0.1,4.1 and up
Freedom Christian BF,LIFESTYLE,NaN,0,12M,10+,Free,0,Everyone,Lifestyle,22-Feb-16,1,4.0.3 and up
Random Love (BF),FAMILY,3.7,3,10M,50+,Free,0,Everyone,Entertainment,4-Oct-15,1.0.0,2.2 and up
BeFunky Photo Editor Pro,PHOTOGRAPHY,4.5,4724,Varies with device,"50,000+",Paid,$1.99 ,Everyone,Photography,14-Aug-17,Varies with device,Varies with device
,,,,,,,,,,,,
BF Family user,BUSINESS,NaN,8,26M,100+,Free,0,Everyone,Business,1-Feb-18,0.0.9,4.1 and up
Talking Boyfriend,FAMILY,2.9,1073,2.8M,"100,000+",Free,0,Everyone,Entertainment,28-Aug-16,1.1,2.3.3 and up
Faketalk - Chatbot,GAME,4.2,63056,8.1M,"1,000,000+",Free,0,Teen,Word,3-Jul-18,1.9.7,2.3 and up
XXX DISTILLERY,BUSINESS,4.2,509,3.2M,"100,000+",Free,0,Everyone,Business,2-Aug-17,1.1.0,4.0 and up
Cute Questions BF,LIFESTYLE,4,3,3.3M,"1,000+",Free,0,Everyone,Lifestyle,2-Jun-18,3.0.0,4.4 and up
BG Score,SPORTS,2.6,64,1.6M,"10,000+",Free,0,Everyone,Sports,26-Jul-17,2.1,4.0.3 and up
BG Advisor™,TOOLS,4.4,7,5.6M,"1,000+",Free,0,Everyone,Tools,10-Jan-17,1.3,4.0.3 and up
BG Products,AUTO_AND_VEHICLES,4.8,4,4.5M,500+,Free,0,Everyone,Auto & Vehicles,28-Nov-17,1.3,5.0 and up
BG LINKED (BGLINKED),SOCIAL,4.7,22,11M,"1,000+",Free,0,Everyone,Social,19-Jan-18,v2.0.02_prod,4.1 and up
BG Monitor Diabetes,MEDICAL,4.4,643,2.8M,"10,000+",Free,0,Everyone,Medical,23-Apr-17,8.0.1,4.4 and up
BG Monitor Diabetes Pro,MEDICAL,4.6,87,2.8M,500+,Paid,$5.99 ,Everyone,Medical,23-Apr-17,8.0.1,4.4 and up
HTC Sense Input-BG,TOOLS,2.7,198,2.8M,"100,000+",Free,0,Everyone,Tools,22-Apr-14,9.7.753080,4.1 and up
Photo BG Changer,PHOTOGRAPHY,3.8,11,17M,"1,000+",Free,0,Everyone,Photography,21-Feb-18,1.3,4.1 and up
BG TV App,FAMILY,1.7,6,2.9M,100+,Free,0,Everyone,Entertainment,21-Dec-17,1,4.1 and up
BG BRIDAL GALLERY,LIFESTYLE,4.6,17,19M,"1,000+",Free,0,Everyone,Lifestyle,27-Jun-18,2.1.1,4.4 and up
HTC Sense Input - BG,TOOLS,3.3,218,4.1M,"10,000+",Free,0,Everyone,Tools,9-Nov-15,1.0.606877,5.0 and up
BG Editor,PHOTOGRAPHY,NaN,0,8.4M,5+,Free,0,Everyone,Photography,23-Jul-18,1.2,4.1 and up
BG Sports News,NEWS_AND_MAGAZINES,NaN,41,5.0M,"1,000+",Free,0,Everyone,News & Magazines,9-Feb-16,1.0.0,3.0 and up
Board Game Stats: Play tracking for tabletop games,LIFESTYLE,4.6,275,3.9M,"5,000+",Paid,$2.99 ,Everyone,Lifestyle,17-Jul-18,2.8.3,4.1 and up
Bg TV Online,FAMILY,2.3,50,2.8M,"10,000+",Free,0,Everyone,Entertainment,21-Oct-17,1.2,4.1 and up
"PhotoLayers〜Superimpose,Eraser",PHOTOGRAPHY,4.5,81219,2.6M,"10,000,000+",Free,0,Everyone,Photography,14-Jun-15,1.4.0,4.1 and up
Zdravei.BG,SOCIAL,NaN,6,6.1M,"1,000+",Free,0,Mature 17+,Social,8-Jan-18,3.7.17,4.1 and up
BG+Phone Backup,PRODUCTIVITY,4.8,16,2.6M,"1,000+",Free,0,Everyone,Productivity,17-Feb-17,1.0.3,2.3 and up
BGKontakti London BG Kontakti,SOCIAL,NaN,4,8.9M,500+,Free,0,Everyone,Social,23-Mar-17,1.2,3.0 and up
ReactNative BG Geolocation,TOOLS,5,5,9.1M,"1,000+",Free,0,Everyone,Tools,25-May-18,2.12.0,4.1 and up
BG TV Stations,FAMILY,NaN,0,2.9M,100+,Free,0,Everyone,Entertainment,10-Feb-18,1,4.1 and up
BG video - floating video - background video,VIDEO_PLAYERS,4.1,64,2.0M,"5,000+",Free,0,Everyone,Video Players & Editors,21-May-18,2,4.0 and up
BG TV Program,FAMILY,NaN,1,2.8M,100+,Free,0,Everyone,Entertainment,22-Apr-18,1,4.1 and up
BG Cable TV,FAMILY,NaN,5,2.8M,"1,000+",Free,0,Everyone,Entertainment,25-Feb-18,1,4.1 and up
BG Middle East,AUTO_AND_VEHICLES,NaN,1,9.4M,10+,Free,0,Everyone,Auto & Vehicles,20-Dec-17,1.1,4.0 and up
Blender BG - Photo Blend With Background,PHOTOGRAPHY,NaN,0,7.8M,100+,Free,0,Everyone,Photography,20-Sep-17,1,4.2 and up
BG MUSIC PLAYER - MUSIC PLAYER,VIDEO_PLAYERS,NaN,0,8.6M,100+,Free,0,Everyone,Video Players & Editors,26-Jun-18,1,4.1 and up
Sommelier.BG,FOOD_AND_DRINK,NaN,0,Varies with device,10+,Free,0,Teen,Food & Drink,18-Jul-18,Varies with device,Varies with device
BG Future School,FAMILY,4.9,16,10M,100+,Free,0,Everyone,Education,22-Jul-17,1,4.0.3 and up
Cordova BG Geolocation,MAPS_AND_NAVIGATION,3,4,Varies with device,"1,000+",Free,0,Everyone,Maps & Navigation,25-May-18,Varies with device,Varies with device
Simple Photo BG Changer,TOOLS,NaN,1,5.1M,10+,Free,0,Everyone,Tools,8-Jun-18,1,2.3 and up
BGKontakti Bayern BG Kontakti,SOCIAL,NaN,32,7.8M,"1,000+",Free,0,Everyone,Social,25-May-16,1.6,3.0 and up
BGKontakti Vienna BG Kontakti,SOCIAL,4.8,111,5.9M,"1,000+",Free,0,Everyone,Social,18-Jul-18,2.42,4.1 and up
CARS.bg,AUTO_AND_VEHICLES,4.5,276,1.7M,"100,000+",Free,0,Everyone,Auto & Vehicles,5-Jul-17,1.1.3,4.4 and up
bgtime.tv,VIDEO_PLAYERS,3.4,694,Varies with device,"50,000+",Free,0,Everyone,Video Players & Editors,27-Jul-18,Varies with device,Varies with device
BG Torneos,SPORTS,NaN,7,2.3M,100+,Free,0,Everyone,Sports,13-Jun-18,2.0.0,4.1 and up
YourTube Video Views BG,VIDEO_PLAYERS,NaN,8,2.5M,500+,Free,0,Everyone,Video Players & Editors,12-Nov-15,1.1.1,4.0 and up
BG Television,FAMILY,NaN,3,2.8M,500+,Free,0,Everyone,Entertainment,10-Dec-17,1,4.1 and up
Cъновник BG,BOOKS_AND_REFERENCE,NaN,13,4.1M,"1,000+",Free,0,Everyone,Books & Reference,21-Jan-17,250,4.0 and up
Auto Background Changer,PHOTOGRAPHY,4,35188,6.2M,"1,000,000+",Free,0,Everyone,Photography,22-Feb-18,1.0.11,3.2 and up
Block Gun 3D: Call of Destiny,GAME,3.7,31883,20M,"1,000,000+",Free,0,Teen,Action,23-Mar-17,1.4.3,2.3 and up
BG Remover & Eraser Pro,TOOLS,2.2,4,4.8M,500+,Free,0,Everyone,Tools,3-Apr-18,3,2.3 and up
BG Metro - Red voznje,TRAVEL_AND_LOCAL,4.8,89,Varies with device,"1,000+",Free,0,Everyone,Travel & Local,21-Feb-17,Varies with device,Varies with device
BG Cricket,SPORTS,NaN,6,24M,500+,Free,0,Everyone,Sports,14-Jun-18,2.4.4,4.2 and up
BG Guide,TRAVEL_AND_LOCAL,5,3,2.4M,100+,Free,0,Everyone,Travel & Local,28-Nov-16,1.1,2.3.3 and up
Bg Radios - Bulgarian radio stations online,FAMILY,NaN,8,13M,"1,000+",Free,0,Everyone,Entertainment,13-Jul-18,1.3.2,4.1 and up
Micro.bg Cloud POS System,BUSINESS,NaN,6,Varies with device,100+,Free,0,Everyone,Business,12-Jul-17,Varies with device,2.0 and up
BG-FLEET,TOOLS,NaN,0,1.8M,10+,Free,0,Everyone,Tools,30-Jul-18,1,4.0.3 and up
trip.bg,TRAVEL_AND_LOCAL,4.5,103,9.8M,"1,000+",Free,0,Everyone,Travel & Local,30-Jul-18,8.2.0,4.0.3 and up
Dete.bg,NEWS_AND_MAGAZINES,NaN,0,29M,100+,Free,0,Everyone,News & Magazines,12-Jun-17,1.2,4.1 and up
BLOOD & GLORY: IMMORTALS,GAME,4.3,101762,11M,"1,000,000+",Free,0,Teen,Action,11-Jun-15,2.0.0,3.0 and up
Change photo background,PHOTOGRAPHY,3.8,28660,6.4M,"5,000,000+",Free,0,Everyone,Photography,21-Mar-18,1.0.12,4.0.3 and up
Es-Bg Offline Voice Translator,TRAVEL_AND_LOCAL,NaN,1,87M,10+,Paid,$1.49 ,Everyone,Travel & Local,19-Mar-17,2.55,3.0 and up
Baldur's Gate: Enhanced Edition,FAMILY,4.5,20101,7.8M,"100,000+",Paid,$9.99 ,Teen,Role Playing,2-Oct-15,1.3,3.0 and up
Shadow Fight 2 Special Edition,GAME,4.5,10440,86M,"50,000+",Paid,$4.99 ,Teen,Action,30-May-18,1.0.3,4.1 and up
ePazar.bg,SHOPPING,NaN,28,2.1M,"1,000+",Free,0,Everyone,Shopping,7-Jan-17,3,3.0 and up
Revita.bg,HEALTH_AND_FITNESS,4.8,10,4.0M,10+,Free,0,Everyone,Health & Fitness,13-Jun-18,3.55,4.0 and up
Background Eraser,PHOTOGRAPHY,4.5,267378,1.9M,"10,000,000+",Free,0,Everyone,Photography,11-Jul-15,1.4.6,4.0 and up
ePay.bg,FINANCE,4.4,2017,2.4M,"100,000+",Free,0,Everyone,Finance,26-Jul-18,2.22,4.1 and up
Top Novini BG,NEWS_AND_MAGAZINES,NaN,2,2.9M,100+,Free,0,Everyone,News & Magazines,14-Jun-16,1.2,4.1 and up
Block Gun 3D: Ghost Ops,GAME,3.9,142693,21M,"5,000,000+",Free,0,Teen,Action,7-Jun-18,1.4.0,2.3 and up
"Music for Youtube - Tube Music BG, Red+",VIDEO_PLAYERS,4.3,47,8.7M,"1,000+",Free,0,Teen,Video Players & Editors,23-Sep-17,1.1,4.2 and up
Bg+ Call Blocker,TOOLS,4.3,80,1.7M,"10,000+",Free,0,Everyone,Tools,20-Mar-18,1.2,4.0 and up
BG Blurry HD Wallpapers,FAMILY,NaN,1,5.1M,10+,Free,0,Everyone,Entertainment,12-Mar-18,1.0.0.1,4.0 and up
Background Changer & Eraser,PHOTOGRAPHY,4,2076,11M,"500,000+",Free,0,Teen,Photography,21-May-18,2.5,4.1 and up
Stolica.bg,NEWS_AND_MAGAZINES,NaN,1,1.3M,50+,Free,0,Everyone,News & Magazines,2-May-18,1.1,5.0 and up
Cut Out : Background Eraser and background changer,PHOTOGRAPHY,4.1,7118,9.2M,"1,000,000+",Free,0,Everyone,Photography,29-Jun-18,1.6,4.0 and up
