# Data is copyright of Lavanya Gupta @ https://www.kaggle.com/lava18/google-play-store-apps,,
Last Updated,Current Ver,Android Ver
20-Sep-17,8,3.0 and up
9-Apr-18,3.3.9,4.0.3 and up
1-Mar-18,1.2,4.0.3 and up
5-Apr-18,2.3.09,4.0.3 and up
3-Aug-17,Varies with device,Varies with device
24-May-18,Varies with device,4.0 and up
21-Nov-17,1.4.2,4.0 and up
18-Oct-17,1.0.0,4.0.3 and up
29-May-18,1,4.0 and up
24-Jul-18,18.5,5.0 and up
23-Jul-18,1.3,4.1 and up
12-Jul-18,1.1.0,4.0.3 and up
14-May-18,1.1.0,4.0 and up
17-Jul-18,1.15,4.1 and up
2-Jul-18,1.5,4.1 and up
7-Jun-18,1,4.0 and up
8-Aug-17,2,2.3 and up
11-Dec-17,2,3.0 and up
24-May-18,1.1,4.0.3 and up
1-Jun-18,1.2.13,4.0.3 and up
1-Mar-17,1.0.2.0,1.6 and up
24-Jan-18,3,3.0 and up
5-Apr-18,3.1.89,4.0.3 and up
30-Jul-18,2.2.0,4.0 and up
7-Aug-17,1,4.0.3 and up
28-May-18,1.9.2,4.0.3 and up
1-Aug-18,Varies with device,Varies with device
3-Aug-18,1.3.2,4.4 and up
31-Jul-17,1.1,4.0 and up
2-Aug-18,Varies with device,Varies with device
27-Jul-18,Varies with device,Varies with device
17-Jul-15,Varies with device,1.5 and up
18-May-18,Varies with device,Varies with device
25-Apr-18,Varies with device,Varies with device
27-Mar-18,2.1,4.1 and up
6-Jun-18,3.2.1,4.0 and up
28-Jun-18,Varies with device,Varies with device
21-Jan-18,1,4.0 and up
1-Aug-18,2.0.075,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
27-May-18,1.91180527,2.3 and up
17-Jul-18,1,4.0.3 and up
11-Jul-18,9.1.363,4.1 and up
4-Aug-18,1.1.6,4.0.3 and up
28-May-18,Varies with device,Varies with device
20-Jul-18,2.3.18,4.1 and up
27-Apr-18,2.2.5,4.1 and up
17-May-18,15,2.3 and up
2-Jun-18,18.05.31+530,4.1 and up
25-Apr-18,Varies with device,Varies with device
13-Jul-18,1,2.3 and up
25-Jun-18,5.0.6,4.0 and up
4-Jul-18,1.2.3,4.0 and up
29-Jun-18,3.12,4.1 and up
23-Nov-17,2,4.0.3 and up
20-Jun-18,1.28,3.0 and up
1-Aug-18,6.0.8,4.0.3 and up
16-Oct-14,1.0.3,2.1 and up
11-Jul-18,1.9,4.4 and up
31-Jul-18,Varies with device,Varies with device
28-Aug-17,9.00.950462,7.0 and up
31-Mar-18,14,4.0 and up
28-May-18,6,4.0.3 and up
20-Aug-16,3.05,4.0.3 and up
17-Jul-18,2,3.0 and up
16-Jun-18,1.5,3.0 and up
1-May-18,Varies with device,Varies with device
15-Jun-18,3,6.0 and up
28-Jul-18,2.5.3,4.0 and up
19-Jul-18,7.0.4.6,4.2 and up
29-Jul-18,1.15,4.0.3 and up
15-Feb-18,3.1.7.9,2.2 and up
7-Aug-15,1.1,5.1 and up
20-Mar-18,3.9.1,4.2 and up
30-Jul-18,Varies with device,Varies with device
21-May-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
17-Jul-18,3.4.2,5.0 and up
4-May-18,Varies with device,Varies with device
2-Apr-18,Varies with device,Varies with device
24-Jul-18,2.19.0.204537701,4.4 and up
2-Aug-18,9.7.14188,4.1 and up
14-Jun-18,4.9.10,4.0.3 and up
19-Jul-18,5.2.8,5.0 and up
8-Jul-18,3.3,4.1 and up
26-Jun-18,3.550.2,4.1 and up
31-Jul-18,4.6.30,4.0.3 and up
13-Apr-16,2.8,1.5 and up
2-Aug-18,Varies with device,Varies with device
9-Jul-18,Varies with device,Varies with device
17-Jul-18,Varies with device,4.3 and up
31-Jul-18,Varies with device,Varies with device
8-Feb-18,7.3.21,4.1 and up
21-Jun-18,1.1.13,4.0 and up
26-Jul-18,Varies with device,Varies with device
30-Jul-18,Varies with device,Varies with device
,,
18-Jul-18,5.1.5,4.1 and up
30-Jul-18,Varies with device,Varies with device
10-Jul-18,2.3.6,4.1 and up
20-Jul-18,4.1.28165.0716,4.0 and up
8-Jun-18,Varies with device,Varies with device
1-Aug-18,99.0.0.35.75,4.1 and up
2-Aug-18,12.2.4,4.0 and up
1-Aug-18,1.0.6.8,4.1 and up
4-Jul-18,3.4.5,4.2 and up
1-Aug-18,2.5.6,4.0 and up
27-Jul-18,1.12.5,4.0 and up
8-Jun-18,1.5,4.0.3 and up
26-Feb-18,Varies with device,4.0.3 and up
26-Mar-18,4.9,2.2 and up
24-Jul-18,0.9.4,4.0.3 and up
31-Jan-18,1.1.07.6,7.0 and up
25-Jun-18,Varies with device,Varies with device
9-Apr-18,1.0.5,6.0 and up
25-Jul-18,Varies with device,Varies with device
26-Feb-18,Varies with device,4.0.3 and up
11-Jul-18,Varies with device,Varies with device
30-May-17,1.2.6,3.0 and up
11-Jul-18,3.9.2,4.1 and up
2-Aug-18,3.4.49,4.1 and up
25-Mar-18,1.5.2,4.0 and up
11-Apr-17,3.4.6,3.0 and up
31-Jul-18,Varies with device,Varies with device
15-Jun-18,3.2.1,4.1 and up
30-Jul-18,1.12.0,4.0.3 and up
24-Jul-18,2.19.0.204537701,4.4 and up
2-Aug-18,Varies with device,Varies with device
18-Apr-18,1.7.14,4.2 and up
12-Jul-18,3.24.1,5.0 and up
13-Jul-18,18.7,4.1 and up
3-Jul-18,3.19.005,4.1 and up
30-Jul-18,Varies with device,Varies with device
25-Jul-18,4.9.1,5.0 and up
20-Jul-18,6.1.2,4.0.3 and up
26-Jul-18,6.4.4,5.0 and up
13-Feb-18,3.7.5,4.4 and up
31-Jul-18,2.6.158,4.0 and up
2-Aug-18,5.20.7,4.1 and up
2-Aug-18,5.20.7,4.1 and up
16-Jul-18,4.3.0.508,4.4 and up
1-Aug-18,10.46.2,4.1 and up
20-Jul-18,11.1.0,4.3 and up
20-Jul-18,4.1.28165.0716,4.0 and up
22-Mar-18,1.2.287,5.0 and up
2-Aug-18,3.0.4651,4.4 and up
11-Jul-18,Varies with device,Varies with device
29-May-18,3.1.4.0,4.0.3 and up
16-Jul-18,4.3.0.508,4.4 and up
30-Jul-18,3.3.0,4.0 and up
29-Jun-18,2.22.397,5.0 and up
2-Aug-18,Varies with device,Varies with device
31-Jul-18,Varies with device,Varies with device
15-Jun-18,3.2.1,4.1 and up
30-Jul-18,1.12.0,4.0.3 and up
24-Jul-18,2.19.0.204537701,4.4 and up
2-Aug-18,Varies with device,Varies with device
18-Apr-18,1.7.14,4.2 and up
12-Jul-18,3.24.1,5.0 and up
13-Jul-18,18.7,4.1 and up
3-Jul-18,3.19.005,4.1 and up
30-Jul-18,Varies with device,Varies with device
25-Jul-18,4.9.1,5.0 and up
20-Jul-18,6.1.2,4.0.3 and up
26-Jul-18,6.4.4,5.0 and up
13-Feb-18,3.7.5,4.4 and up
31-Jul-18,2.6.158,4.0 and up
2-Aug-18,5.20.7,4.1 and up
2-Aug-18,5.20.7,4.1 and up
16-Jul-18,4.3.0.508,4.4 and up
1-Aug-18,10.46.2,4.1 and up
25-Jul-18,Varies with device,Varies with device
26-Feb-18,Varies with device,4.0.3 and up
11-Jul-18,Varies with device,Varies with device
30-May-17,1.2.6,3.0 and up
11-Jul-18,3.9.2,4.1 and up
2-Aug-18,3.4.49,4.1 and up
25-Mar-18,1.5.2,4.0 and up
11-Apr-17,3.4.6,3.0 and up
2-Apr-18,Varies with device,Varies with device
2-Aug-18,9.7.14188,4.1 and up
2-Aug-18,Varies with device,Varies with device
25-Jul-18,2.0.19,5.0 and up
13-Jul-18,18.7,4.1 and up
31-Jul-18,Varies with device,Varies with device
4-Jul-18,1.1.7.0,4.1 and up
23-Jul-18,2.11.3,4.1 and up
16-Nov-17,1.08,4.0.3 and up
3-Aug-18,1.0.6,4.4 and up
1-Aug-18,1.0.8,4.1 and up
7-Jul-18,1.5,4.1 and up
9-Jul-18,3.4.3_world,5.0 and up
3-Jul-18,1,4.0 and up
27-Dec-17,1,2.3 and up
23-Jul-18,1.9,4.0.3 and up
3-Jul-18,1.1,4.2 and up
19-Jul-18,3,4.0.3 and up
5-Mar-18,1.2.12,4.0.3 and up
3-Jul-18,6.3.0,4.0.3 and up
18-May-18,1,4.0.3 and up
6-Jul-18,2.3.1,4.0.3 and up
23-May-18,3.1.0,4.1 and up
5-Jun-18,Varies with device,Varies with device
19-Jul-18,4.7.3,4.2 and up
24-Jul-18,3.16.0,4.4 and up
31-Jul-18,4.1.0,4.4 and up
18-Dec-17,1.6,4.0 and up
5-Jul-18,Varies with device,Varies with device
3-Jul-18,6.1.1,4.2 and up
26-May-18,1.7.7,4.1 and up
24-May-18,1,4.1 and up
13-Jul-18,5.0.12,5.0 and up
24-Jul-18,1.0.4,4.0.3 and up
31-Jul-18,4.3.0,4.1 and up
30-Jul-18,Varies with device,Varies with device
31-Mar-18,1.3,4.0 and up
26-Jun-18,2,4.0.3 and up
1-Aug-18,4.2.0.2,2.3 and up
16-Jun-18,1.01,4.0.3 and up
3-Aug-18,2.3.3,4.0.3 and up
28-May-18,1.4,4.0 and up
2-Aug-18,2.4.25,4.4 and up
1-Aug-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
6-Jun-18,1.8.9,4.1 and up
1-Aug-18,Varies with device,Varies with device
25-Jul-18,37.0.0.7.163,2.3 and up
2-Aug-18,Varies with device,Varies with device
21-Jul-18,Varies with device,Varies with device
18-Jul-18,Varies with device,Varies with device
3-Aug-18,2.4.1,4.4 and up
10-Jul-18,Varies with device,Varies with device
18-Jul-18,5.29.3,4.4 and up
7-Jun-18,9.8.000000010492,4.0 and up
8-Jun-18,9.8.000000010501,4.0 and up
26-Jun-18,2.8.4.201036949,5.0 and up
28-Jul-18,1.3.4,4.1 and up
4-Jul-18,11.8.6,4.0.3 - 7.1.1
19-Jul-18,Varies with device,Varies with device
19-Jun-18,24.6.6,4.0.3 - 7.1.1
30-Jul-18,Varies with device,Varies with device
1-Aug-18,Varies with device,Varies with device
2-Jul-18,3.2.0.100171,4.1 and up
31-Jul-18,47.1.2249.129326,Varies with device
11-Jul-18,R6.0.3,4.1 and up
6-Jul-18,5.2,5.0 and up
3-Aug-18,Varies with device,Varies with device
2-Aug-18,69.0.3497.24,Varies with device
27-Oct-16,Varies with device,Varies with device
2-Aug-18,6.7.9.1,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
31-Jul-18,1.60.0.31354-release,4.0.3 and up
31-Jul-18,Varies with device,Varies with device
18-Jul-18,11.4.0,4.0 and up
30-Jul-18,2.18.116,4.0.3 and up
25-Jun-18,7.5.1,5.0 and up
1-Aug-18,Varies with device,Varies with device
27-Jul-18,Varies with device,Varies with device
31-Jul-18,37.1.206017801.DR37_RC14,4.4 and up
9-Jul-18,7.5.3.20547,4.1 and up
4-Jul-18,Varies with device,Varies with device
16-Jul-18,2.1,4.1 and up
27-Jun-18,Varies with device,Varies with device
25-Jul-18,Varies with device,Varies with device
4-Nov-16,2.2.7600,4.0.3 and up
2-Aug-18,12.8.5.1121,4.0 and up
26-Jun-18,9.9.0,4.3 and up
28-Jul-18,42.0.0.2059,4.4 and up
3-Aug-18,Varies with device,Varies with device
1-Aug-18,Varies with device,Varies with device
8-Jun-18,9.8.000000010501,4.0 and up
,,
18-Jul-18,Varies with device,Varies with device
21-Jul-18,Varies with device,Varies with device
18-Jul-18,6.1,4.2 and up
19-Apr-18,3.0.4,4.0 and up
19-Jul-18,7.3(800241),4.4 and up
31-Jul-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
27-Jul-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
1-Aug-18,7.73,4.0 and up
1-Aug-18,Varies with device,Varies with device
2-Aug-18,4.98,2.3 and up
26-Jul-18,7.21,2.3 and up
29-Jul-18,Varies with device,Varies with device
24-Jul-18,3.47,4.0.3 and up
23-Jan-18,Varies with device,4.1 and up
29-May-18,Varies with device,Varies with device
26-Jul-18,Varies with device,Varies with device
3-Jul-18,Varies with device,Varies with device
30-Jul-18,6.5.1,4.0.3 and up
2-Aug-18,Varies with device,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
6-Jul-18,5.2,5.0 and up
3-Aug-18,5.65.0,4.0 and up
23-Jan-18,Varies with device,4.1 and up
1-Aug-18,Varies with device,Varies with device
10-Jul-18,Varies with device,Varies with device
31-Jul-18,5.22.18.0006,4.0 and up
9-Jul-18,7.5.3.20547,4.1 and up
31-Jul-18,47.1.2249.129326,Varies with device
27-Aug-17,6.1,2.3 and up
19-Jul-18,Varies with device,Varies with device
2-Jul-18,Varies with device,Varies with device
18-Jul-18,11.4.0,4.0 and up
2-Aug-18,12.8.5.1121,4.0 and up
20-Mar-18,1.4.1.0,4.0.3 and up
31-May-18,Varies with device,Varies with device
20-Jun-18,2.2,4.0 and up
1-Apr-16,6.4.0.4,4.0 and up
10-Jul-17,4.5.1,4.0 and up
2-Feb-15,2,3.0 and up
5-Jul-18,7.5.3.20547,4.1 and up
31-Jul-18,5.85.1,4.0.3 and up
5-Mar-17,196,2.1 and up
19-Apr-18,3.0.4,4.0 and up
18-Jul-18,Varies with device,Varies with device
18-Apr-18,3.0.7,4.0 and up
5-Jan-18,1.26.001,4.0 and up
15-May-18,3.5.0,4.0.3 and up
25-Jul-18,8.1.2-6310,5.0 and up
26-Jul-18,5.86,4.0.3 and up
13-Jul-18,5.1.2-6310,5.0 and up
26-Jul-18,2018.1.715,4.0 and up
4-Dec-17,3.9.7,2.1 and up
29-Jul-18,1.286,4.1 and up
1-Aug-18,6.19.1,4.1 and up
22-Jun-18,Varies with device,Varies with device
24-May-18,Varies with device,Varies with device
5-Jul-18,2.17.3,4.1 and up
26-Jul-18,Varies with device,Varies with device
24-Jan-18,2.2.245,4.0.3 and up
26-Jul-18,4.5.4,4.1 and up
12-Jul-18,Varies with device,Varies with device
1-Aug-18,Varies with device,Varies with device
,,
2-Aug-18,Varies with device,Varies with device
18-Jul-18,5.29.3,4.4 and up
6-Jan-18,5.403,4.0.3 and up
3-Aug-18,Varies with device,Varies with device
1-Aug-18,1.9.4.74,4.1 and up
3-Apr-18,5.0.9,4.1 and up
19-Jul-18,9.8.376,5.0 and up
,,
3-Aug-18,Varies with device,Varies with device
11-Apr-17,2.3,2.2 and up
21-Jun-18,3.2.0,4.0 and up
25-Jul-18,Varies with device,Varies with device
9-Aug-17,2.3.17,Varies with device
21-Jul-18,Varies with device,Varies with device
8-Jun-18,9.8.000000010501,4.0 and up
19-Jul-18,7.3(800241),4.4 and up
18-Jul-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
31-Jul-18,Varies with device,Varies with device
28-Sep-16,2.9.8,2.3.3 and up
4-Aug-18,7.2.29,4.0.3 and up
29-Jul-18,Varies with device,Varies with device
29-May-18,Varies with device,Varies with device
26-Jul-18,Varies with device,Varies with device
3-Aug-18,Varies with device,Varies with device
19-Jun-18,2.6.139,4.1 and up
25-Oct-17,1.1.6,4.0 and up
1-Sep-17,1,4.0 and up
,,
2-Aug-18,1.2,4.0.3 and up
21-Jan-17,1.0.1,4.0 and up
2-Aug-18,Varies with device,Varies with device
30-Jul-18,11.10.1,4.1 and up
23-Jul-18,Varies with device,Varies with device
1-Aug-18,2.5.2,4.1 and up
3-Aug-18,6.1.3,5.0 and up
31-Jul-18,4.17.2,4.1 and up
27-Jul-18,3.5.0.1,4.1 and up
4-Aug-18,2.6.141,4.1 and up
1-Aug-18,4.19.0.2320,4.4 and up
2-Aug-18,Varies with device,Varies with device
30-Jul-18,6.6.5,4.1 and up
4-Aug-18,1.639,4.0 and up
25-Jul-18,1.6.1,4.4 and up
24-Jul-18,2.5.1,4.1 and up
25-Jul-18,1.9.7,4.4 and up
3-Aug-18,4.4B,4.1 and up
3-Aug-18,1.308.us,4.1 and up
7-Jul-18,2.4.1,4.1 and up
1-Aug-18,Varies with device,Varies with device
27-Jan-17,5.0.1,4.2 and up
31-Jul-18,4.17.2,4.1 and up
17-Jul-18,2.45,4.1 and up
25-Jul-18,1.6.1,4.4 and up
3-Jul-18,4.5.5,4.1 and up
19-Jun-18,1.0.4,4.4 and up
6-Jun-18,1.2.1,4.1 and up
24-Jul-18,Varies with device,Varies with device
26-Jun-18,4.0.18,4.0.3 and up
3-Feb-17,1.6.5,4.2 and up
27-Jul-18,1.31.4,4.0.3 and up
10-Jul-18,1.23,4.0.3 and up
25-Jul-18,1.9.7,4.4 and up
25-Feb-16,2.2,4.0 and up
31-Jul-18,4.17.2,4.1 and up
25-Jun-18,4.1.2,4.0.3 and up
20-Jun-18,15.8,4.1 and up
18-Jul-18,6.3.7,5.0 and up
25-Jul-18,1.9.7,4.4 and up
31-Jul-18,4.8.5,4.0.3 and up
30-Jul-18,6.4.6,4.1 and up
13-Jun-18,2.3.0.1781,5.0 and up
12-May-18,4.3,4.1 and up
21-May-18,2.9.6,4.0 and up
24-Jul-18,3.8.75a,4.0.3 and up
8-Jan-17,1.0.0,4.0 and up
4-Dec-17,3.0.0,4.1 and up
6-Nov-17,1,4.0.3 and up
28-Dec-17,1.0.5,4.0 and up
27-Jul-18,1.31.3,4.0.3 and up
28-Jan-17,1.6.6,4.2 and up
7-Jul-18,Varies with device,Varies with device
1-Feb-17,1.5,4.1 and up
20-Jun-18,2.0.5,4.0.3 and up
27-Jul-18,1.31.3,4.0.3 and up
1-Jun-18,2.2.0.1748,5.0 and up
31-May-18,3.0.15,4.0 and up
29-Apr-18,2.4.0,4.1 and up
29-Mar-18,2.0.0,4.1 and up
3-Aug-18,1.55,4.1 and up
26-Jul-18,12.0.4,4.1 and up
30-Jul-18,11.10.1,4.1 and up
1-Aug-18,4.19.0.2320,4.4 and up
1-Aug-18,2.5.2,4.1 and up
3-Aug-18,6.1.3,5.0 and up
16-Jul-18,1.15.0,4.4 and up
27-Jul-18,3.5.0.1,4.1 and up
31-Jul-18,4.17.2,4.1 and up
31-Jul-18,4.8.5,4.0.3 and up
24-Jul-18,2.5.1,4.1 and up
4-Aug-18,2.6.141,4.1 and up
1-Aug-18,6.4.1,4.1 and up
2-Aug-18,Varies with device,Varies with device
18-Jul-18,6.3.7,5.0 and up
4-Aug-18,5.2.14,5.0 and up
17-Jul-18,2.45,4.1 and up
25-Jun-18,4.1.2,4.0.3 and up
24-Jul-18,3.8.75a,4.0.3 and up
1-Aug-18,8.7.2,4.2 and up
25-Jul-18,1.6.1,4.4 and up
1-Aug-18,Varies with device,Varies with device
31-Jul-18,4.17.2,4.1 and up
30-Jul-18,1.1.46,4.2 and up
3-Jul-18,4.5.5,4.1 and up
7-Jul-18,2.4.1,4.1 and up
30-Jul-18,6.4.6,4.1 and up
31-Jul-18,2.8.0,4.3 and up
31-Jul-18,4.17.2,4.1 and up
26-Jul-18,3.0.0,4.0.3 and up
2-Aug-18,3.4.1.1,4.1 and up
19-Jun-18,2.6.139,4.1 and up
31-Jul-18,4.8.5,4.0.3 and up
18-May-18,5.5.7,4.1 and up
7-Jul-18,Varies with device,Varies with device
27-Jul-18,1.31.4,4.0.3 and up
20-Jun-18,15.8,4.1 and up
25-Jul-18,1.5.4.0,4.1 and up
19-Jun-18,4.9.2 (Oasis),4.2 and up
27-Jul-18,1.31.3,4.0.3 and up
29-Mar-18,2.0.0,4.1 and up
3-Aug-18,3.10.5,4.0.3 and up
23-Jul-18,2.2.7,4.1 and up
26-Jul-18,1.17,4.2 and up
17-Jul-18,3.1.3,4.1 and up
12-Jul-18,0.0.73,4.1 and up
20-Jun-18,2.0.5,4.0.3 and up
26-Jul-18,4.7.6,4.1 and up
6-Nov-17,1,4.0.3 and up
23-Jul-18,5.2.9,4.1 and up
21-May-18,2.9.6,4.0 and up
10-May-18,4.3.2,4.1 and up
29-Mar-18,3.9.2,4.0.3 and up
26-Jul-18,3.6.3,4.1 and up
16-Feb-18,4.4.1,4.1 and up
29-Jun-18,5.16.2,4.0.3 and up
27-Jul-18,1.31.3,4.0.3 and up
7-Apr-18,5.3.3.13289,4.0.3 and up
26-Jul-18,1.17,4.2 and up
15-Jun-17,3.0.0,4.0 and up
2-Aug-18,5.0.8,4.1 and up
3-Apr-18,0.1.11,4.0 and up
29-Jul-18,1.4.0,4.4 and up
19-Jul-18,1.0.1,4.3 and up
16-Jul-18,2.4,4.0.3 and up
16-Jul-18,2.5,4.0.3 and up
8-Jul-18,8.2,4.0.3 and up
16-Jul-18,8.2,4.0.3 and up
24-Jul-18,1,4.0.3 and up
9-Jul-18,8.2,4.0.3 and up
15-Jul-18,4.2,4.0.3 and up
17-Jul-18,1.0.0,4.4 and up
17-Jul-18,3,4.0.3 and up
17-Jul-18,1,4.0 and up
6-Jul-18,8.2,4.0.3 and up
24-Jul-18,2.2.9,4.4 and up
15-Jul-18,8.2,4.0.3 and up
16-Jul-18,1,4.0 and up
14-Jul-18,8.2,4.0.3 and up
17-Jul-18,2.5,4.0.3 and up
20-Jul-18,1,4.0.3 and up
20-Jul-18,1,4.0 and up
3-Aug-18,1.3,4.1 and up
10-Jul-18,1,4.1 and up
23-Jul-18,3.52,4.0.3 and up
31-Jul-18,3.52,4.0.3 and up
23-Jul-18,1,4.0.3 and up
13-Jul-18,5.5.8,4.0.3 and up
10-Jul-18,1,3.0 and up
26-Jul-18,1,4.0 and up
9-Jul-18,1,4.1 and up
31-Jul-18,1,4.4 and up
9-Jul-18,1,4.1 and up
14-Jul-18,4,4.0.3 and up
25-Jul-18,8.2,4.0.3 and up
27-Jul-18,1.3,4.4 and up
1-Aug-18,8.2,4.0.3 and up
24-Jul-18,1,4.0.3 and up
14-Jul-18,1,4.0.3 and up
16-Jul-18,1,4.0.3 and up
2-Aug-18,8.2,4.0.3 and up
2-Aug-18,1.2,4.1 and up
12-Jul-18,1,4.1 and up
22-Jul-18,1.0.7,4.0 and up
26-Jul-18,1,4.0.3 and up
19-Jul-18,1,4.0.3 and up
14-Jul-18,1.1,4.0 and up
11-Jul-18,1,3.0 and up
3-Aug-18,8.2,4.0.3 and up
31-Jul-18,2,4.0.3 and up
24-Jul-18,1.0.3,4.2 and up
22-Jul-18,3.5.4.2.3,4.1 and up
17-Jul-18,1.1.1,4.2 and up
30-Jul-18,1.6,4.1 and up
20-Jul-18,1.2.9,4.1 and up
24-Jul-18,2,4.1 and up
4-Aug-18,1.5-beta,5.0 and up
11-Jul-18,1,4.0.3 and up
19-Jul-18,4.5.0,4.0.3 and up
12-Jul-18,6.1,4.0 and up
9-Jul-18,3,4.0.3 and up
26-Jul-18,3.7,4.0.3 and up
1-Aug-18,8.7.2,4.2 and up
18-Jul-18,6.3.7,5.0 and up
1-Aug-18,2.5.2,4.1 and up
19-Jul-18,1.0.1,4.3 and up
15-Jul-18,4.2,4.0.3 and up
25-Jul-18,1.9.7,4.4 and up
19-Jun-18,1.0.4,4.4 and up
27-Jul-18,1.0.2,4.0.3 and up
24-Jul-18,Varies with device,Varies with device
16-Jul-18,2.5,4.0.3 and up
24-Jul-18,1,4.0.3 and up
24-Jul-18,3.8.75a,4.0.3 and up
27-Jul-18,3.5.0.1,4.1 and up
26-Jul-18,4.813,4.0.3 and up
